category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,7/652,120/9423,0.058333333333333334,0.8430598159509202,-0.4717197529775442,0.7331967195683733,0.9999999976978646,0.8270676672689106,3656/91860/818/6197/805/6195/8503,7
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,11/652,184/9423,0.059782608695652176,0.8640054014403842,-0.5079124748138351,0.7359391646281033,0.9999999976978646,0.8270676672689106,818/1072/2041/2048/1969/84448/29984/8482/1944/8503/57556,11
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,3/652,55/9423,0.05454545454545454,0.7883156720580033,-0.42925701600147614,0.7432269703288019,0.9999999976978646,0.8270676672689106,142891/55331/129807,3
Metabolism,Glycan biosynthesis and metabolism,hsa00531,Glycosaminoglycan degradation,1/652,19/9423,0.05263157894736842,0.7606554730384243,-0.2847179077398638,0.7442875772495583,0.9999999976978646,0.8270676672689106,10855,1
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,7/652,122/9423,0.05737704918032787,0.8292391632304134,-0.5175760355821589,0.7487294566587116,0.9999999976978646,0.8270676672689106,5214/5331/113026/483/6772/8503/6567,7
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,2/652,38/9423,0.05263157894736842,0.7606554730384243,-0.40305930635531356,0.7498370236406583,0.9999999976978646,0.8270676672689106,6890/3561,2
Environmental Information Processing,Signal transduction,hsa04371,Apelin signaling pathway,8/652,140/9423,0.05714285714285714,0.8258545135845748,-0.5659823103409221,0.7617086539778013,0.9999999976978646,0.8270676672689106,91860/805/4899/5331/113/5140/4843/6696,8
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,8/652,140/9423,0.05714285714285714,0.8258545135845748,-0.5659823103409221,0.7617086539778013,0.9999999976978646,0.8270676672689106,91860/805/80201/9021/5106/5140/8503/5105,8
Metabolism,Glycan biosynthesis and metabolism,hsa00541,Biosynthesis of various nucleotide sugars,1/652,20/9423,0.05,0.7226226993865031,-0.33855052332355395,0.762016681846888,0.9999999976978646,0.8270676672689106,29925,1
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,9/652,158/9423,0.056962025316455694,0.8232410499339908,-0.6108829967368329,0.7736802831016256,0.9999999976978646,0.8270676672689106,6197/79899/55615/6195/6502/83667/58528/8503/7124,9
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,8/652,142/9423,0.056338028169014086,0.8142227598721162,-0.6081491232380052,0.7752364770578775,0.9999999976978646,0.8270676672689106,23624/27338/991/6502/672/9021/11065/5371,8
Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,1/652,21/9423,0.047619047619047616,0.6882120946538124,-0.38996854724328767,0.7785183433842515,0.9999999976978646,0.8270676672689106,8876,1
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,14/652,239/9423,0.058577405857740586,0.8465872628795851,-0.6549606731665428,0.7795426622365285,0.9999999976978646,0.8270676672689106,91860/2114/805/50487/1969/9462/5321/255189/5337/5320/1944/8503/283748/84647,14
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,3/652,59/9423,0.05084745762711865,0.7348705417489861,-0.5569600950186326,0.7850361102692945,0.9999999976978646,0.8270676672689106,6241/290/9027,3
Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",2/652,41/9423,0.04878048780487805,0.7049977554990274,-0.5161076859008243,0.7866215962235579,0.9999999976978646,0.8270676672689106,10993/189,2
Metabolism,Amino acid metabolism,hsa00340,Histidine metabolism,1/652,22/9423,0.045454545454545456,0.6569297267150028,-0.4392160428966447,0.7938774201884918,0.9999999976978646,0.8270676672689106,84735,1
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,11/652,195/9423,0.05641025641025641,0.8152666352052855,-0.7106890854997417,0.8004641362291433,0.9999999976978646,0.8270676672689106,5331/834/1535/4688/366/728/2358/2214/8503/2357/6403,11
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,7/652,130/9423,0.05384615384615385,0.7782090608777725,-0.6942378690548158,0.8043873059484251,0.9999999976978646,0.8270676672689106,5331/113/84699/2769/4843/8503/10022,7
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,1/652,23/9423,0.043478260869565216,0.6283675646839156,-0.48650173657602297,0.8081729123741214,0.9999999976978646,0.8270676672689106,2526,1
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,1/652,23/9423,0.043478260869565216,0.6283675646839156,-0.48650173657602297,0.8081729123741214,0.9999999976978646,0.8270676672689106,5983,1
Genetic Information Processing,Replication and repair,hsa03410,Base excision repair,2/652,44/9423,0.045454545454545456,0.6569297267150028,-0.6218733576132416,0.818562242605074,0.9999999976978646,0.8270676672689106,2237/5983,2
Organismal Systems,Excretory system,hsa04962,Vasopressin-regulated water reabsorption,2/652,44/9423,0.045454545454545456,0.6569297267150028,-0.6218733576132416,0.818562242605074,0.9999999976978646,0.8270676672689106,84699/359,2
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,3/652,63/9423,0.047619047619047616,0.6882120946538124,-0.6769590632205854,0.8210522600723295,0.9999999976978646,0.8270676672689106,578/1026/51176,3
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,7/652,133/9423,0.05263157894736842,0.7606554730384243,-0.7579006103579201,0.8226540678231833,0.9999999976978646,0.8270676672689106,91860/818/805/84152/5331/1644/84699,7
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,13/652,233/9423,0.055793991416309016,0.8063600937360121,-0.8159919247075312,0.8275088543300582,0.9999999976978646,0.8270676672689106,7791/57159/84823/2274/81624/84665/3673/22795/3696/483/8572/7058/7125,13
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,3/652,65/9423,0.046153846153846156,0.6670363378952336,-0.7344002054584855,0.8370493424444412,0.9999999976978646,0.8270676672689106,5331/8503/6696,3
Genetic Information Processing,"Folding, sorting and degradation",hsa03050,Proteasome,2/652,46/9423,0.043478260869565216,0.6283675646839156,-0.688860625150694,0.8374091216710545,0.9999999976978646,0.8270676672689106,5696/5698,2
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,17/652,300/9423,0.056666666666666664,0.8189723926380369,-0.8687751570971952,0.8376311965061861,0.9999999976978646,0.8270676672689106,4067/10095/4008/84790/7846/7280/78999/10383/2037/79861/10092/10381/3742/8503/26047/117157/3383,17
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,14/652,253/9423,0.05533596837944664,0.7997405368704382,-0.8803176971113539,0.8432991799711258,0.9999999976978646,0.8270676672689106,3606/10095/80201/4615/5331/10392/834/113026/29108/10092/58528/1437/8503/7124,14
