gene,logFC,P.Value,adj.P.Val
DPY19L1,0.745865504756064,1.93526145935997e-11,1.443488928113472e-09
AFAP1-AS1,2.24664497586492,2.0203541433248497e-11,1.4993476657583505e-09
FAM102B,0.593208380610517,2.0978636340217198e-11,1.5529475183030303e-09
DEPDC1B,1.22502739091176,2.1854106448228e-11,1.6096453140364022e-09
TNFRSF1B,0.746564949738527,2.24579947145581e-11,1.6499888716785837e-09
IL32,1.17678351895519,2.7049195078349598e-11,1.9218396424493402e-09
SLC27A2,1.36950874061893,2.7326151894129e-11,1.9258056399632207e-09
XLOC_002921,0.891299883776235,2.8154967577194297e-11,1.974745076750802e-09
SAMD8,0.931953831669328,2.8609669551445098e-11,2.001101348979295e-09
CAMK2G,0.527021728639648,2.8680400969385496e-11,2.001101348979295e-09
TM6SF2,1.1884162096001,2.8794361467191098e-11,2.001101348979295e-09
PDSS1,1.03329832601671,2.8803112515933098e-11,2.001101348979295e-09
SDR16C5,1.06318621363695,2.9037985459890398e-11,2.0103014743616987e-09
PCSK9,2.03468486921826,2.9072346760709196e-11,2.0103014743616987e-09
