,id,gastritis_subtypeB,gastritis_subtypeA,title,source_name_ch1,GSE,Group
167,GSM3754815,0.739246106,-0.101255146,B0420-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
168,GSM3754816,0.422223627,0.52662163,B1025-1: Gastritis,Gastritis,GSE130823,Gastritis
169,GSM3754817,0.714418117,-0.036379912,B1025-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
170,GSM3754818,0.301990835,0.545469013,B1168-1: Gastritis,Gastritis,GSE130823,Gastritis
171,GSM3754819,0.740947054,-0.107599077,B1168-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
172,GSM3754820,0.144071793,0.673393636,B1244-1: Gastritis,Gastritis,GSE130823,Gastritis
173,GSM3754821,0.685371257,-0.068611407,B1244-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
174,GSM3754822,0.175977325,0.669177694,B1322-1: Gastritis,Gastritis,GSE130823,Gastritis
175,GSM3754823,0.675542863,0.274979355,B1322-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
176,GSM3754824,0.284814138,0.550833954,B1559-1: Gastritis,Gastritis,GSE130823,Gastritis
177,GSM3754825,0.65412936,0.015251886,B1559-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
178,GSM3754826,0.38042627,0.469622532,B1632-1: Gastritis,Gastritis,GSE130823,Gastritis
179,GSM3754827,0.768812161,-0.046171427,B1632-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
180,GSM3754828,0.450704655,0.412999154,B1682-1: Gastritis,Gastritis,GSE130823,Gastritis
181,GSM3754829,0.711980365,0.014152268,B1682-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
182,GSM3754830,0.314429588,0.609095888,B1703-1: Gastritis,Gastritis,GSE130823,Gastritis
183,GSM3754831,0.481823208,0.383118151,B1703-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
184,GSM3754832,0.651909531,0.367646737,Q0465-1: Gastritis,Gastritis,GSE130823,Gastritis
185,GSM3754833,0.469282736,0.459261854,Q0465-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
186,GSM3754834,0.670557088,0.154955282,Q0469-1: Gastritis,Gastritis,GSE130823,Gastritis
187,GSM3754835,0.779887643,-0.128387855,Q0469-2: GastricHighGradeIntraepithelialNeoplasia,GastricHighGradeIntraepithelialNeoplasia,GSE130823,HGN
188,GSM3754836,0.188539936,0.634123072,B1019-1: Gastritis,Gastritis,GSE130823,Gastritis
189,GSM3754837,0.217935598,0.652107718,B1019-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
190,GSM3754838,0.625099004,0.227767608,B1090-1: Gastritis,Gastritis,GSE130823,Gastritis
191,GSM3754839,0.790307594,-0.1483893,B1090-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
192,GSM3754840,0.574682862,0.27178853,B1272-1: Gastritis,Gastritis,GSE130823,Gastritis
193,GSM3754841,0.61497228,0.167936896,B1272-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
194,GSM3754842,0.137100831,0.659470827,B1326-1: Gastritis,Gastritis,GSE130823,Gastritis
195,GSM3754843,0.500686367,0.342737558,B1326-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
196,GSM3754844,0.638250509,0.186666468,Q0423-1: Gastritis,Gastritis,GSE130823,Gastritis
197,GSM3754845,0.733585414,0.033653519,Q0423-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
198,GSM3754846,0.710825896,0.144241399,Q0438-1: Gastritis,Gastritis,GSE130823,Gastritis
199,GSM3754847,0.586993114,0.403790159,Q0438-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
200,GSM3754848,0.723527199,-0.108605823,Q0452-1: Gastritis,Gastritis,GSE130823,Gastritis
201,GSM3754849,0.505979565,0.15347806,Q0452-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
202,GSM3754850,0.72801742,-0.136489706,Q0479-1: Gastritis,Gastritis,GSE130823,Gastritis
203,GSM3754851,0.717840741,0.080146147,Q0479-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
204,GSM3754852,0.343372215,0.490764083,Q0500-1: Gastritis,Gastritis,GSE130823,Gastritis
205,GSM3754853,0.72440943,-0.064657556,Q0500-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
206,GSM3754854,0.720047558,0.036817011,Q0514-1: Gastritis,Gastritis,GSE130823,Gastritis
207,GSM3754855,0.656566574,0.130419852,Q0514-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
208,GSM3754856,0.486195153,0.533100814,B2944-1: Gastritis,Gastritis,GSE130823,Gastritis
209,GSM3754857,0.636604361,0.341668987,B2944-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
210,GSM3754858,0.21505435,0.622490362,B2809-1: Gastritis,Gastritis,GSE130823,Gastritis
211,GSM3754859,0.558619157,0.123481947,B2809-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
212,GSM3754860,0.739941581,0.003916048,B2516-1: Gastritis,Gastritis,GSE130823,Gastritis
213,GSM3754861,0.636702151,0.203954791,B2516-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
214,GSM3754862,0.261747355,0.557157315,B2920-1: Gastritis,Gastritis,GSE130823,Gastritis
215,GSM3754863,0.700462869,-0.016414831,B2920-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
216,GSM3754864,0.143114766,0.715269215,B2461-1: Gastritis,Gastritis,GSE130823,Gastritis
217,GSM3754865,0.735695107,0.29137058,B2461-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
218,GSM3754866,0.78481694,-0.067816196,B2524-1: Gastritis,Gastritis,GSE130823,Gastritis
219,GSM3754867,0.710984262,0.040396443,B2524-2: IntestinalGastricCancer,IntestinalGastricCancer,GSE130823,GC
