"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COX4I2",-0.205479842314856,3.19938835820472,-1.71114996116635,0.0913979931685276,0.221434808181096,-5.37839201750632
"ARHGEF11",0.137528322150382,5.0237582497661,1.7108564754788,0.0914524765078315,0.221548543369232,-5.37887514561283
"SNORD45C",0.149595823447624,2.23235563039374,1.71077569831804,0.0914674768377293,0.221566617977843,-5.37900810538124
"XLOC_014122",-0.183130464273148,5.32263343730245,-1.7106795120246,0.0914853412795283,0.221584990413473,-5.37916642115406
"ZNF765",-0.095008254053675,4.90573310274662,-1.7106536700186,0.091490141339223,0.221584990413473,-5.37920895385524
"KIAA0232",-0.0891642573047404,6.19164750039435,-1.71055822557571,0.0915078715928286,0.221603718764383,-5.3793660383144
"XLOC_009566",0.0448686005560299,1.60754018749448,1.7105308619624,0.0915129553193328,0.221603718764383,-5.37941107243349
"MINPP1",0.143241011527595,3.84519825353711,1.71045673211033,0.0915267286377581,0.221618810349051,-5.37953306953262
"SIGLEC8",0.150215012972648,2.12522915263781,1.71035528007042,0.0915455811730462,0.22164619702698,-5.37970002346058
"XLOC_009740",-0.271181705195434,2.82199639480598,-1.71002251169469,0.0916074409162117,0.221777697804237,-5.38024757772951
"TDRKH",0.129219208501582,2.99197757919729,1.7099638264141,0.0916183537324981,0.221784552172444,-5.38034413135003
"LEMD1",-0.318998623643454,2.24757666642488,-1.70992612141636,0.0916253657249776,0.221784552172444,-5.38040616495673
"LOC100506338",0.0992530482155809,5.53459338936073,1.70976682262611,0.0916549953567212,0.221838000621259,-5.38066823511212
"LYPD4",-0.124230007266851,1.79034815355045,-1.70956728292361,0.0916921209047067,0.221909581581777,-5.38099647583936
"MUC1",-0.230239760213504,7.58726981900937,-1.70917875136773,0.0917644449159582,0.22206632964346,-5.38163550502743
"XLOC_000541",-0.148224459413055,1.98624086980457,-1.70891674968793,0.0918132421808287,0.222166122783878,-5.38206635136766
"XLOC_010554",-0.140834689520078,1.60829843405121,-1.70856203393573,0.0918793411697635,0.222307762086037,-5.382649563675
"LCE1E",-0.331181251785612,4.31038658090586,-1.70806499403997,0.0919720270187738,0.222513701327713,-5.38346659331817
"XLOC_002314",0.122574811129688,1.75146622912125,1.70785253759562,0.0920116683703853,0.222591283344492,-5.38381576052793
"LOC100130744",0.301481858118579,2.94685819634189,1.70767647935579,0.0920445289534217,0.222652450150889,-5.38410507784491
"S1PR2",-0.102760023622422,5.89542618833529,-1.70727861509743,0.0921188242230304,0.222813827676248,-5.38475878888451
"NEU2",-0.21675228988534,1.67693026525706,-1.70694115787687,0.0921818779177491,0.222947990144582,-5.38531313821255
"SLAMF7",0.309707213596461,7.00804517103011,1.706869719867,0.092195230609342,0.222961935249123,-5.38543047826135
"LOC645967",0.16760715606936,3.10972240621747,1.70658071459296,0.0922492656386209,0.223060349585552,-5.38590513589554
"XLOC_l2_011871",-0.0262042297912899,1.54231523022828,-1.70657087649755,0.0922511055145908,0.223060349585552,-5.38592129252362
"XLOC_000388",0.15564661837248,2.1450275225087,1.70649717486772,0.0922648898162835,0.223075325538539,-5.38604232641702
"XLOC_004787",-0.128822417225116,1.68279458274941,-1.70640236188971,0.0922826250249511,0.223099850627942,-5.38619802259758
"GPR85",0.0460368430957023,1.54124758293674,1.70628435414343,0.0923047028282451,0.223134869352346,-5.38639179670936
"PDZD9",-0.0752891130677285,1.55671785298302,-1.70623105513748,0.0923146758390787,0.223140622928018,-5.38647931206811
"AGRP",-0.232558462848686,2.72694429450034,-1.7060706561321,0.0923446941319333,0.223194824504421,-5.38674266720894
"BTLA",0.29146989301806,2.96878302044451,1.70547521917306,0.0924561987645286,0.223418486157226,-5.38772010098463
"FAM47B",0.207947281604779,1.6789682053072,1.70546450715854,0.0924582057627692,0.223418486157226,-5.38773768231187
"GFRA2",-0.207103706513053,5.04923136184267,-1.70545472227447,0.0924600390854833,0.223418486157226,-5.38775374187719
